name,street address,SSID,wifi pwd,note, bathroom code
Muddy's,,,gosharks
Oasis,,,mycoffee
Cafe International,,,hotcoffee
Mercury Cafe,,,coffeeandpie
Celtic Cafe,,,carlow6691,,159#
Grind Cafe,,,gowarriors,wifi pwd changes every Monday\, n/a on weekends
Murano,,,Ilovecoffee
Verve,,,streetlevel
Philz Golden Gate,,,,,80581
Philz Castro,,,78336
Dirty Trix Saloon,,,6338192747
Pam Kriel's office,,,A4C21BA825
NA Regional Office - Fairfield,,,recovery
Parks Conservancy,,redtail,wireless4all
Mechanics Institute,,,1a2a3a4a5a
Emmanuel Coffee,,,lowerhaight
Martha's (Noe),,,4156414433
Cafe Luna,,,03202008
Cove on Castro,,,solange
Bean Bag Cafe,,,601divisadero
Bean Bag Cafe,,5G2,happyhour4all
Stanza,,,electricsheep
Starbucks Jackson Square,,,,,06251
Crepevine,,,goodfood
Harbor (near YMCA Embarco),,,baybridge
EarthX,,,moonrise3210
Cafe 78,,,cafe78cafe
Women's building,,,,,24511#
Aroma Cafe,,,Aromacafe
Martha and Bros. (Church),,,espresso
Cafe Bean,800 Sutter,noweefi,dontknow
Project Juice,,PJGUEST,peaceloveandkale
Javalencia,,,welcome2javalencia
Piece of Heaven,,,ilovepieceofheaven
Tierra Mia,Broadway and 20th\, Oakland,,OAKTMC@Broadway
Quetzal,,,coffeelife
Fillmore cafe,,,fillst2003
Royal Ground Coffee (Polk),,,leothelion
Swissnex-visitor,,,ConnectingTheDots!
Thai Spice,,,AT1730POLK
Dry Dock,,ATT570,0118109758
Sextant,,,sextantcoffee